nameWithOwner,url,stargazers/totalCount,watchers/totalCount,forks/totalCount,releases/totalCount,createdAt,primaryLanguage/name,totalLOC
openshift/openshift-ansible-contrib,https://github.com/openshift/openshift-ansible-contrib,284,63,388,3,2016-03-18T19:13:00Z,Python,10621
linukey/DataMining-And-Social-Sentiment-Analysis-Based-On-Weibo,https://github.com/linukey/DataMining-And-Social-Sentiment-Analysis-Based-On-Weibo,116,8,38,0,2017-11-09T12:38:01Z,Python,929
rasbt/mlxtend,https://github.com/rasbt/mlxtend,2834,125,604,21,2014-08-14T01:56:16Z,Python,27386
lanpa/tensorboardX,https://github.com/lanpa/tensorboardX,6152,83,668,9,2017-06-13T13:54:19Z,Python,13521
oarriaga/face_classification,https://github.com/oarriaga/face_classification,4789,236,1373,0,2017-02-09T14:44:32Z,Python,1895
HelloZeroNet/ZeroNet,https://github.com/HelloZeroNet/ZeroNet,15543,856,1895,22,2015-01-12T00:41:38Z,Python,35482
alephdata/aleph,https://github.com/alephdata/aleph,1227,56,141,3,2014-08-27T20:21:51Z,Python,-1
espressif/esptool,https://github.com/espressif/esptool,3032,220,795,20,2014-09-06T14:50:29Z,Python,11435
astroML/astroML,https://github.com/astroML/astroML,612,82,234,0,2012-10-17T22:33:50Z,Python,14495
vinta/awesome-python,https://github.com/vinta/awesome-python,80778,5205,15124,0,2014-06-27T21:00:06Z,Python,82
opencv/open_model_zoo,https://github.com/opencv/open_model_zoo,1851,104,611,0,2018-10-15T10:55:02Z,Python,50880
bazelbuild/rules_android,https://github.com/bazelbuild/rules_android,121,15,7,2,2018-01-30T20:59:01Z,Python,0
divio/django-cms,https://github.com/divio/django-cms,7384,418,2400,0,2009-03-05T10:14:18Z,Python,61096
lyakaap/Landmark2019-1st-and-3rd-Place-Solution,https://github.com/lyakaap/Landmark2019-1st-and-3rd-Place-Solution,164,3,26,0,2019-06-08T09:21:26Z,Python,7678
FSecureLABS/z3_and_angr_binary_analysis_workshop,https://github.com/FSecureLABS/z3_and_angr_binary_analysis_workshop,117,9,19,0,2018-10-23T21:04:34Z,Python,1954
mps-youtube/mps-youtube,https://github.com/mps-youtube/mps-youtube,6037,200,499,27,2014-02-03T04:17:46Z,Python,8793
django-import-export/django-import-export,https://github.com/django-import-export/django-import-export,1742,59,517,0,2012-11-15T13:12:22Z,Python,6015
google/aiyprojects-raspbian,https://github.com/google/aiyprojects-raspbian,1330,160,578,7,2017-04-20T16:49:05Z,Python,13868
AirtestProject/Airtest,https://github.com/AirtestProject/Airtest,3677,191,609,2,2018-01-24T04:00:35Z,Python,5970
KaleidoZhouYN/e2e-joint-face-detection-and-alignment,https://github.com/KaleidoZhouYN/e2e-joint-face-detection-and-alignment,131,10,28,0,2018-11-21T00:56:13Z,Python,498
soeaver/caffe-model,https://github.com/soeaver/caffe-model,1229,108,615,0,2016-02-27T16:31:56Z,Python,1203
pytorch/tnt,https://github.com/pytorch/tnt,1147,41,152,2,2016-12-10T11:49:58Z,Python,3005
TuSimple/simpledet,https://github.com/TuSimple/simpledet,2562,105,434,0,2019-01-29T08:28:55Z,Python,48473
puddly/android-otp-extractor,https://github.com/puddly/android-otp-extractor,103,3,9,0,2017-10-21T16:16:12Z,Python,797
RubensZimbres/Repo-2017,https://github.com/RubensZimbres/Repo-2017,1015,117,628,0,2016-12-17T13:21:20Z,Python,141
jaungiers/LSTM-Neural-Network-for-Time-Series-Prediction,https://github.com/jaungiers/LSTM-Neural-Network-for-Time-Series-Prediction,2933,223,1331,0,2016-12-18T16:26:20Z,Python,318
prakhar1989/Algorithms,https://github.com/prakhar1989/Algorithms,2434,142,636,0,2012-12-11T05:33:04Z,Python,3040
shelhamer/fcn.berkeleyvision.org,https://github.com/shelhamer/fcn.berkeleyvision.org,2717,179,1313,0,2015-06-10T00:27:59Z,Python,2703
dbcli/pgcli,https://github.com/dbcli/pgcli,8588,144,385,0,2014-10-12T17:32:33Z,Python,11628
coursera-dl/coursera-dl,https://github.com/coursera-dl/coursera-dl,7701,338,1556,0,2012-03-21T21:07:15Z,Python,7562
librosa/librosa,https://github.com/librosa/librosa,3415,131,581,27,2012-10-20T14:21:01Z,Python,-1
fchollet/deep-learning-models,https://github.com/fchollet/deep-learning-models,6152,310,2032,8,2016-08-03T20:59:28Z,Python,2764
nteract/papermill,https://github.com/nteract/papermill,3098,102,239,0,2017-07-06T17:17:53Z,Python,6000
facebookresearch/visdom,https://github.com/facebookresearch/visdom,7178,181,858,2,2017-01-25T17:59:45Z,Python,4911
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,63609,1841,10761,291,2010-10-31T14:35:07Z,Python,-1
GoogleCloudPlatform/deploymentmanager-samples,https://github.com/GoogleCloudPlatform/deploymentmanager-samples,667,74,468,0,2015-03-02T19:24:40Z,Python,13411
viper-framework/viper,https://github.com/viper-framework/viper,1308,156,320,4,2013-11-09T18:24:38Z,Python,8747
rlcode/reinforcement-learning,https://github.com/rlcode/reinforcement-learning,2483,127,594,0,2017-01-13T09:30:09Z,Python,4898
infobyte/faraday,https://github.com/infobyte/faraday,2509,232,574,41,2013-11-06T02:07:23Z,Python,95894
jazzband/django-model-utils,https://github.com/jazzband/django-model-utils,1802,52,280,2,2009-11-10T06:18:00Z,Python,4730
naparuba/shinken,https://github.com/naparuba/shinken,1098,101,342,0,2010-11-23T11:02:56Z,Python,4730
dedupeio/dedupe,https://github.com/dedupeio/dedupe,2568,130,369,10,2012-04-20T14:57:36Z,Python,7166
